Author,Comment,LikeCount,PublishedAt
@NutSack-rq3zp,I may be a dumbass but I&#39;m having a hard time understanding this video,0,2025-01-11T19:28:58Z
@nighthawkviper6791,Humans have it too. Iykyk,1,2025-01-10T19:31:22Z
@user-um1np8fx3j,"i legitimately went immobile till the line got wiped, help",0,2025-01-10T12:15:13Z
@itz_godfrey2483,&quot; Me: I won&#39;t but the new IPhone<br>Apple: Hold my beer.<br><br>Video: 🐔🐔🐓🐓🐓😂😂&quot; <br><br>Maybe it makes sense to y&#39;all 🤦🤦🤦,1,2025-01-10T10:55:02Z
@macups99,😂😂😂,0,2025-01-10T02:34:04Z
@TOUGHGUY100,When you are parked and you think your car is moving but its the car next to you thats moving and you tweak out thinking youre gone. Kinda tweak out for a sec?,0,2025-01-09T10:06:17Z
@shelbytodd6520,We used to line the chickens up in our drive way and put them in that hypnosis for when our parents got home lol,0,2025-01-08T04:49:16Z
@Doc27901,Why his laugh sound like Kazooie at the end 🤣,0,2025-01-07T20:09:26Z
@DeadDogVR,Bro got the Kino Der Toten game over laugh 😭,1,2025-01-06T23:50:49Z
@Dovahki1n,"Okay but how does this have anything to do with iPhones? 😭 <br>I mean seriously, why is nobody talking about this?",2,2025-01-05T23:37:04Z
@AubreyHam-b2t,I thought you made it pearlized for a second,0,2025-01-05T05:32:19Z
@bot.6133,Lmao ikr~,1,2025-01-02T23:35:37Z
@pyrodude2638,I don’t get it,0,2025-01-02T14:09:16Z
@packins4596,Me searching up the relation between the text and the video:,0,2025-01-02T06:19:07Z
@Maine_87,People in Milwaukee don&#39;t go live with people they&#39;re beefing with. That&#39;s Chicago. I&#39;m not saying nobody here never have but it&#39;s not a Milwaukee thing or common. Get this goofy outta here.,0,2025-01-01T23:13:03Z
@Maine_87,"Chicken is 28 or 29.  This lil pup on the phone with you doesn&#39;t know anything going on in the city for real. He getting on here making claims about bodies and not saying allegedly. If this dude was really tapped in with anybody, he would get touched badly. He get his information from the internet and his own brain. And there is no biggest gang in Milwaukee.",0,2025-01-01T23:10:14Z
@ristakat,I thought the chicken sees the line as a snake and fake death to avoid being eaten 🤷🏽‍♀️,1,2025-01-01T16:39:56Z
@Jackrabbitt247,Now we&#39;re prepared for the major rooster invasion coming in 2025,0,2024-12-30T19:11:18Z
@ThisGirlConnie,"Yeah that’s not a trick. Basically, it’s state they get out of fear and when they think they’re going to literally die they just submit. This poor animal is being held by the neck and doesn’t understand what’s happening and just shit down.",1,2024-12-29T21:36:09Z
@Light-nq4rf,Don&#39;t do this! It&#39;s torture for them and it causes mental illness,1,2024-12-27T10:22:29Z
@randomguy2447,What does this have to do with the new iPhone????,1,2024-12-27T06:45:29Z
@Camo_Live,How did anyone figure that out,0,2024-12-27T04:44:13Z
@dillonbriggs9347,Im still using my toaster,0,2024-12-26T19:31:06Z
@eimranadam,That laugh is Satanic!!,0,2024-12-26T17:41:44Z
@thedailybeugle114,He jus like me (fixated on the lines) pls someone get that joke,0,2024-12-26T12:38:57Z
@Gary-o1g,That made me jump,0,2024-12-26T12:25:46Z
@dimasakbar7668,today i found out that this is equivalent to poultry &quot;1st airing of final destination as kids&quot;,0,2024-12-26T03:57:19Z
@cieraleal8030,Maybe dont do that then,0,2024-12-25T08:28:46Z
@tomdaniel5297,"For those of you who are wondering what they are doing: <a href=""https://en.m.wikipedia.org/wiki/Chicken_hypnotism"">https://en.m.wikipedia.org/wiki/Chicken_hypnotism</a>",0,2024-12-24T08:01:28Z
@toucan6109,Awww are you a little consumer,0,2024-12-24T03:02:18Z
@Exprred09,Why is no one talking about that laugh 😭,0,2024-12-23T04:28:21Z
@aceronayne9361,traumatizing chickens for fun is fucked up,3,2024-12-22T08:42:19Z
@SolarPwnz,I have an IPhone 11 so I guess I’m not a hypnotized bird,1,2024-12-21T02:33:28Z
@Raidsage,Why do they act this way,0,2024-12-20T20:24:00Z
@lucasdiniz2646,Fentanyl line,0,2024-12-20T00:55:22Z
@Ibn_Malika,Some celebs also love lines &amp; are fixated on the &quot; lines &quot;.,0,2024-12-19T23:46:55Z
@imnotgieok,Bro hit an emote on em after😂,0,2024-12-19T07:27:25Z
@DanTuc,"I know this is a tree hugger thing to say. And I know it’s a rooster but sometimes it is weird to think we eat such beautiful creatures. I bow hunt, and on the public land I hunt rangers let their cows graze the land and I’m just gonna be honest… them tasty cows sometimes be looking cute. Like wanna pet behind their ears and feed them lol but I also know how delicious they taste all in one emotion",0,2024-12-19T06:53:19Z
@theoriginalz5647,Like a cokehead he said fuck you that&#39;s my line&quot;,0,2024-12-19T05:53:18Z
@JohnDoe-ym8si,😂😂😂😂😂,0,2024-12-19T00:27:54Z
@Lurkartiist,"I tried this, now I have 1 nostril &amp; 2 mouths",0,2024-12-18T23:32:10Z
@urishuriken9860,It also works if you tickle its belly while lying upside down,0,2024-12-18T16:41:08Z
@metathanatos1,"when i was a kid, i did paralize a roaster without using that line. i just hold it firmly to the ground for a min. and it does not move even after letting go. though it will come back to it&#39;s sense and sprint away after some time.",0,2024-12-18T10:19:41Z
@L3tsFnGoDumDuM,How’s he see the line when his eyes are on the side of his head,0,2024-12-18T06:21:45Z
@dhakawarrior8015,Good luck paying more money than what they are worth.,0,2024-12-18T05:53:03Z
@megamushroom,Does the bird think they saw a worm?,1,2024-12-18T03:53:06Z
@thatorangeboi,bro just deactivated a rooster,0,2024-12-18T03:37:13Z
@vituned,I have never seen someone be so locked in god damn,0,2024-12-18T00:09:35Z
@blushslice,Ya’ll think you’re special my dad used to do this shit with lobsters and it’s lame,0,2024-12-18T00:05:01Z
@mattiaazzolini9502,DON&#39;T ERASE THE LINE,0,2024-12-17T01:31:19Z
